account,project,comments  ,empty comments ,patterns,dispersion,type
sbinet,go-interpreter/wagon,100,7.0,83,0.03320838892180704,Human
agelostsal,ARGOeu/argo-ams-library,12,3.0,10,0.03557226774171163,Human
DvdMgr,signetlabdei/sem,89,2.0,86,0.037798355053699065,Human
springmeyer,mapbox/node-pre-gyp,100,0.0,95,0.03177566522901145,Human
qjouda,FuturICT2/fin4-core,26,23.0,4,0.005280408191689087,Human
jaumard,Jaguar-dart/jaguar_orm,100,7.0,93,0.03959717349570451,Human
mnocon,ezsystems/repository-forms,43,2.0,37,0.04373148396270686,Human
ezrobot,ezsystems/repository-forms,27,0.0,10,0.13198486161906844,Bot
ciscoheat,back2dos/travix,69,2.0,68,0.0321811521245844,Human
rasmuserik,DBCDK/serviceprovider,100,37.0,58,0.040158587073556046,Human
ElRaptorus,process-engine/management_api_contracts,52,0.0,30,0.08864711140239355,Human
mosquito,aiokitchen/aiomisc,90,56.0,31,0.025351043210616292,Human
aokumasan,nifcloud/nifcloud-sdk-python,52,0.0,42,0.04125245258599893,Human
snoyberg,yesodweb/wai,100,0.0,95,0.03282989006472718,Human
thedrow,celery/django-celery-results,21,0.0,21,0.025195618478800932,Human
auvipy,celery/django-celery-results,100,13.0,85,0.03808210845669944,Human
decadence,LaravelCollective/html,100,0.0,90,0.03457576098324787,Human
peterdettman,bcgit/bc-java,100,0.0,99,0.029744235412593707,Human
NickNeck,hrzndhrn/xema,100,23.0,63,0.04591465464933046,Human
cmswalker,alvarotrigo/react-fullpage,100,6.0,89,0.038292847437500215,Human
alvarotrigo,alvarotrigo/react-fullpage,100,0.0,93,0.032554340549601775,Human
galvesribeiro,BlazorExtensions/Logging,48,9.0,34,0.039868630523939214,Human
syndbg,syndbg/goenv,100,6.0,74,0.05415374321498682,Human
iwasaki-kenta,perlin-network/life,21,5.0,17,0.031135440768092743,Human
hSaria,hSaria/ChromaTerm,100,0.0,92,0.03410678193290411,Human
thelinuxfoundation,helm/chartmuseum,88,0.0,1,0.34062884101063906,Bot
scottbedard,rainlab/user-plugin,23,1.0,23,0.038008921016886334,Human
LukeTowers,rainlab/user-plugin,100,0.0,99,0.03344202013399639,Human
jaredallard,nexe/nexe,100,0.0,100,0.027323537032714763,Human
Jamdan2,JetBrains/kotlin-wrappers,28,0.0,28,0.025828458033540964,Human
Leonya,JetBrains/kotlin-wrappers,100,0.0,12,0.2736269829531683,Bot
Hypnosphi,JetBrains/kotlin-wrappers,79,0.0,79,0.025248657871676097,Human
wonderflow,qiniu/pandora-go-sdk,100,2.0,14,0.03698556704972818,Human
csoltenborn,csoltenborn/GoogleTestAdapter,100,0.0,93,0.038602912966994335,Human
s-nakajima,NetCommons3/NetCommons,100,44.0,38,0.08260436473587965,Human
rminnich,u-root/NiChrome,100,7.0,78,0.05207486593151699,Human
Hibernate-CI,hibernate/hibernate-validator,74,0.0,3,0.25939216422804706,Bot
gsmet,hibernate/hibernate-validator,100,22.0,66,0.04907373885285169,Human
jmrodri,automationbroker/bundle-lib,100,24.0,58,0.0287964456780462,Human
faiface,faiface/beep,100,0.0,99,0.033587021735729784,Human
markya0616,getamis/eth-indexer,53,41.0,13,0.014200480567075421,Human
fredwangwang,pivotal-cf/om,100,1.0,99,0.03301025566877658,Human
cf-gitbot,pivotal-cf/om,100,0.0,1,0.021319387274123254,Bot
matfish2,matfish2/vue-tables-2,100,0.0,95,0.03160886868016235,Human
ClaraBuettner,openego/eTraGo,100,11.0,87,0.04033428820754894,Human
doug-martin,C2FO/fast-csv,100,0.0,80,0.041162651798593505,Human
askurydzin,infobloxopen/protoc-gen-gorm,11,2.0,10,0.0316343486490422,Human
ai,postcss/gulp-postcss,84,0.0,84,0.02595659904845557,Human
w0rm,postcss/gulp-postcss,100,1.0,99,0.032909681647092556,Human
alshakero,Starcounter-Jack/JSON-Patch,100,1.0,88,0.038505429445658,Human
daviscabral,aksonov/react-native-router-flux,100,1.0,98,0.03553834104792029,Human
aksonov,aksonov/react-native-router-flux,100,0.0,89,0.03424181914509934,Human
kud,searchkit/searchkit,48,6.0,43,0.03540713059345984,Human
vieron,ducksboard/gridster.js,28,0.0,26,0.03038888027945653,Human
silasdavis,monax/hoard,51,11.0,23,0.05478144727803551,Human
tophsic,php-edifact/edifact,18,0.0,18,0.03147078267351762,Human
sabas,php-edifact/edifact,100,0.0,100,0.030517396424046665,Human
stale,searchkit/searchkit,100,0.0,1,0.0,Bot
VesnaT,biolab/orange3-single-cell,36,0.0,7,0.33383177145209475,Bot
sfriedel,graphql-go/graphql,25,0.0,25,0.026980997253500345,Human
chris-ramon,graphql-go/graphql,100,3.0,76,0.04934991855665067,Human
ZachiNachshon,terraform-providers/terraform-provider-spotinst,/,/,/,/,/
bootstraponline,appium/appium_capybara,71,1.0,68,0.031278643788976886,Human
marijnh,ProseMirror/prosemirror-view,100,0.0,95,0.035761396606561684,Human
visualfc,qiniu/qlang,100,10.0,86,0.03714593298533866,Human
cordoval,stephpy/timeline-bundle,37,3.0,31,0.043708269138196525,Human
stephpy,stephpy/timeline-bundle,100,0.0,85,0.039071601177961254,Human
mhchia,ethresearch/sharding-p2p-poc,100,1.0,91,0.03760702114777282,Human
revolunet,revolunet/angular-google-analytics,100,0.0,90,0.03766421286356783,Human
dingo-d,infinum/coding-standards-wp,60,3.0,49,0.03897350113972402,Human
TriangleJuice,a-ui/core_branding_scss,100,35.0,40,0.04032404964090025,Human
mhallin,mhallin/graphql_ppx,75,0.0,75,0.030095736572511456,Human
alimanfoo,petl-developers/petl,100,0.0,94,0.034549116088683426,Human
Namiii,omise/omise-java,76,3.0,59,0.05012674186009423,Human
nuxzero,omise/omise-java,83,26.0,54,0.03269830123247988,Human
soffchen,nadoo/glider,45,3.0,41,0.028126881380266585,Human
nadoo,nadoo/glider,100,0.0,95,0.03143448213759297,Human
BryanApellanes,BryanApellanes/Bam.Net,100,92.0,9,0.0067701958992342545,Human
drewsonne,beamly/go-gocd,100,30.0,63,0.042168583096222574,Human
KacperMadej,highcharts/node-export-server,71,0.0,63,0.03798577206428497,Human
cvasseng,highcharts/node-export-server,100,0.0,94,0.031640693883702976,Human
gregberge,gregberge/svgr,100,8.0,82,0.035957325317710696,Human
sixer1182,heidelpay/php-payment-api,33,20.0,10,0.036844323086052906,Human
scrutinizer-notifier,richan-fongdasen/laravel-varnishable,25,0.0,1,0.20168007956090553,Bot
kortschak,gonum/exp,75,0.0,56,0.04884207130280562,Human
oberbichler,oberbichler/ANurbs,100,98.0,3,0.0009345317241910942,Human
gfinak,ropensci/DataPackageR,97,4.0,86,0.03373469640283931,Human
andrewimm,facebook/react-360,100,2.0,99,0.03084961601047552,Human
jdolitsky,helm/chartmuseum,100,1.0,87,0.03070520019484088,Human
mykola-mokhnach,appium/appium-uiautomator2-server,100,15.0,78,0.04622509781078767,Human
scottcorgan,scottcorgan/tap-spec,100,6.0,87,0.03432694620313456,Human
sawanoboly,mobingi/alm-agent,75,33.0,43,0.01282087192419405,Human
Rikkola,kiegroup/optaplanner-wb,55,5.0,48,0.041999087705167186,Human
jongmoon,naver/egjs-view360,100,0.0,88,0.036058563188745105,Human
jcraigk,jcraigk/ruby_nano_rpc,26,5.0,22,0.02998820823898049,Human
Arkounay,artgris/MediaBundle,30,11.0,19,0.03175399612582441,Human
integrii,integrii/flaggy,100,6.0,95,0.03466930111813802,Human
shockey,swagger-api/swagger-js,100,13.0,77,0.03333003077051744,Human
googlebot,google/mtail,83,0.0,5,0.20895761873080693,Bot
jaqx0r,google/mtail,100,25.0,63,0.035345525292743006,Human
bartoszpietrzak1994,Sylius/AdminOrderCreationPlugin,23,6.0,13,0.054986074401211546,Human
sequoiaat,BranchMetrics/react-native-branch-deep-linking-attribution,100,2.0,93,0.03427414205573339,Human
Dylan-DPC,uuid-rs/uuid,100,0.0,58,0.0380731544159431,Human
kinggoesgaming,uuid-rs/uuid,100,1.0,70,0.04821773743751837,Human
bors,uuid-rs/uuid,100,0.0,7,0.23537051841392867,Bot
antleblanc,ovh-ux/ng-ovh-line-diagnostics,17,1.0,17,0.04232903273621839,Human
jrobeson,tessel/node-usb,23,0.0,21,0.03514980501419343,Human
lucaslorentz,lucaslorentz/caddy-docker-proxy,100,0.0,98,0.02807761880470764,Human
ruimarinho,ruimarinho/google-libphonenumber,100,4.0,57,0.08486013435713674,Human
shamatar,BANKEX/web3swift,100,14.0,80,0.046681849799220826,Human
Martin0809,zcued/zeus,75,74.0,2,-7.785346947105557e-18,Human
tomkerkhove,arcus-azure/arcus.eventgrid,100,2.0,99,0.031720571493636884,Human
cycjimmy,cycjimmy/awesome-swiper,13,6.0,8,0.01827737491430468,Human
vlttnv,Skyscanner/cfripper,27,18.0,10,0.02100449220605108,Human
Gbuomprisco,Gbuomprisco/ngx-chips,100,10.0,89,0.0370551947837037,Human
ueokande,cybozu-go/sabakan,34,15.0,17,0.018123374442391278,Human
ondrej-fabry,ligato/cn-infra,100,19.0,63,0.03198437031712404,Human
DjebbZ,clj-commons/citrus,100,2.0,99,0.03422604969968599,Human
MortalFlesh,MortalFlesh/MFCollectionsPHP,63,61.0,3,0.002734694058544833,Human
maciejtreder,maciejtreder/ng-toolkit,100,28.0,63,0.03532091389172556,Human
dcousens,bitcoinjs/tiny-secp256k1,60,6.0,53,0.032067827098284235,Human
ekohl,voxpupuli/puppet-nginx,100,2.0,90,0.033809993832370246,Human
marjan-georgiev,swimlane/ngx-datatable,100,0.0,77,0.03938620181382231,Human
k8s-ci-robot,kubernetes-client/csharp,100,0.0,6,0.23055210088866784,Bot
tartley,tartley/colorama,100,2.0,93,0.035143802365962235,Human
junderw,bitcoinjs/tiny-secp256k1,83,1.0,81,0.03185018303155245,Human
nicolaasuni,Genomicsplc/variantkey,48,10.0,39,0.04465851781372985,Human
ankurs,carousell/Orion,76,45.0,28,0.03434173434005193,Human
SML-MeSo,xjsframework/xjs,100,16.0,71,0.04788730320205505,Human
plazma-prizma,thundra-io/thundra-lambda-agent-go,31,28.0,4,0.009985574142127404,Human
tessel-bot,tessel/node-usb,28,0.0,2,0.5376616684808749,Bot
smoke,ngx-api-utils/ngx-api-utils,21,12.0,10,0.020538044119507104,Human
taku910,google/sentencepiece,100,0.0,98,0.03186499899529097,Human
zsquareplusc,pyserial/pyserial,100,0.0,85,0.0431451153517348,Human
euvl,euvl/vue-js-modal,100,0.0,100,0.03164173061141178,Human
serpentcs-dev1,OCA/vertical-hotel,18,1.0,16,0.045254935037214845,Human
dbaeumer,microsoft/vscode-languageserver-node,100,2.0,91,0.03760460806800629,Human
deepakkumar1984,deepakkumar1984/SiaNet,100,4.0,88,0.04345418072490954,Human
PuercoPop,jscl-project/jscl,65,1.0,64,0.03442108007839169,Human
davazp,jscl-project/jscl,100,4.0,95,0.035026778926035444,Human
kevinmehall,tessel/node-usb,100,0.0,93,0.03163187737761805,Human
Tasteful,AutoMapper/AutoMapper.Collection,100,1.0,96,0.037912354841442335,Human
anntzer,icy/pacapt,20,1.0,20,0.029405080902793947,Human
icy,icy/pacapt,100,7.0,93,0.03397975028478164,Human
skyesx,QNJR-GROUP/EasyTransaction,100,5.0,94,0.01312573120149281,Human
dreampiggy,SDWebImage/SDWebImageFLPlugin,20,0.0,20,0.0309707187422133,Human
gavinorland,stevesims/govuk-frederic,100,5.0,86,0.041036871540212884,Human
bailantaotao,getamis/eth-indexer,24,23.0,2,6.715904203268746e-18,Human
fooontic,whitepapertools/whitepaper-bem,21,13.0,9,0.013834097488594373,Human
cuining,zcued/zeus,81,72.0,10,0.0193347601368436,Human
ajayns,collective/gatsby-source-plone,100,8.0,93,0.03808957794922691,Human
PabloGarcimartin,Wandalen/wMathConcepts,54,6.0,47,0.04170006255205643,Human
dborsatto,contentful/contentful-core.php,31,29.0,3,0.0021363613698238302,Human
ltparis2018,as-ideas/oil,66,23.0,42,0.03502067718371429,Human
resin-io-modules-versionbot,balena-io-modules/abstract-sql-compiler,16,0.0,2,0.4235670256482407,Bot
Page-,balena-io-modules/abstract-sql-compiler,100,0.0,16,0.08820818542539867,Bot
JimGreenberg,onsip/SIP.js,30,0.0,29,0.03846115365692551,Human
MindFlavor,MindFlavor/AzureSDKForRust,100,7.0,84,0.03684443711489263,Human
shahrizal-binary,binary-com/perl-Finance-Contract,/,/,/,/,/
sohamkamani,gojektech/heimdall,25,3.0,22,0.03550711068356823,Human
italolelis,gojektech/heimdall,12,0.0,12,0.030204473889663786,Human
rShetty,gojektech/heimdall,100,4.0,93,0.0410858342396635,Human
bgrainger,mysql-net/MySqlConnector,100,3.0,85,0.0401615959754597,Human
tarampampam,avtocod/specs,76,3.0,56,0.042451009897092405,Human
allencloud,pouchcontainer/pouchrobot,100,1.0,21,0.09503945446428987,Human
genomics-geek,chopdgd/django-phenotype-ontologies,11,0.0,7,0.1356503700186719,Human
ymmt2005,cybozu-go/placemat,42,12.0,31,0.02373228969839596,Human
vmarkovtsev,bblfsh/python-client,70,11.0,57,0.03185762227078152,Human
dhollinger,voxpupuli/metadata-json-lint,21,3.0,19,0.042077218544853905,Human
amay077,amay077/Xamarin.Forms.GoogleMaps,100,0.0,88,0.031898479854814664,Human
schweitzdesign,forever-inc/forever-style-guide,100,24.0,67,0.04040230840381205,Human
tomreid76,forever-inc/forever-style-guide,46,18.0,26,0.02188861150256518,Human
AnthonyBloomer,AnthonyBloomer/daftlistings,100,32.0,65,0.0350180396843426,Human
samussiah,RhoInc/crf-heat-map,100,7.0,81,0.03906253600934858,Human
danedexF5,RhoInc/crf-heat-map,18,0.0,15,0.05624864249167131,Human
eed3si9n,sbt/util,100,30.0,67,0.028938383653197675,Human
mikem8361,dotnet/symstore,100,9.0,85,0.03399567476967072,Human
garethahealy,DozerMapper/dozer,100,12.0,69,0.04408073297259121,Human
kazuki43zoo,mybatis/spring-boot-starter,100,8.0,67,0.03991880785286932,Human
ebussieres,PebbleTemplates/pebble,100,15.0,85,0.03817486725809517,Human
jcfr,scikit-build/scikit-build,100,5.0,93,0.035425550785733236,Human
mwbutcher,rcbops/zigzag,14,4.0,11,0.04652409571300242,Human
zreichert,rcbops/zigzag,50,18.0,33,0.03336999073698686,Human
msaps,uias/Tabman,100,0.0,97,0.02843682473527886,Human
shrektan,rstudio/DT,100,1.0,98,0.028618329608389573,Human
aelanman,RadioAstronomySoftwareGroup/pyuvsim,100,0.0,83,0.047272570683341314,Human
MatthewDolan,lightstep/lightstep-tracer-java-common,32,18.0,15,0.030774055009561457,Human
sqweelygig,balena-io-modules/resin-procbots,100,1.0,81,0.05737553131420831,Human
savage-engineer,storageos/go-cli,22,2.0,21,0.03751392703729698,Human
cfdreddbot,cloudfoundry/cf-acceptance-tests,100,0.0,4,0.3622243895316589,Bot
tobilg,tobilg/api2html,32,3.0,28,0.04964657256653281,Human
PTaylour,bbc/VideoContext,100,5.0,93,0.03136881582289651,Human
tyrchen,ArcBlock/utility_belt,12,12.0,1,0.0,Human
matthewhanson,sat-utils/sat-api,100,10.0,90,0.03841765293807918,Human
sserrata,PaloAltoNetworks/pancloud,100,13.0,47,0.08370370377288895,Human
gerhardsletten,makeomatic/redux-connect,11,0.0,11,0.04440059333031205,Human
AVVS,makeomatic/redux-connect,100,0.0,100,0.034355538252751096,Human
twolfson,twolfson/gulp.spritesmith,100,0.0,95,0.028856748185339925,Human
greenkeeper,webtorrent/webtorrent,100,0.0,39,0.0943610676551023,Human
sparhami,google/incremental-dom,100,4.0,96,0.03747647952679004,Human
ponychicken,jonobr1/two.js,62,0.0,59,0.02981642695713882,Human
jonobr1,jonobr1/two.js,100,1.0,100,0.03310319536856121,Human
jessfraz,genuinetools/img,100,0.0,75,0.04598757614586385,Human
frezbo,genuinetools/img,54,0.0,51,0.03385089710291374,Human
maartenbreddels,maartenbreddels/ipywebrtc,76,4.0,70,0.03601476948678018,Human
MichaelAquilina,MichaelAquilina/S4,100,31.0,68,0.038741771477613124,Human
timfallmk,ksync/ksync,100,0.0,51,0.09197560236658131,Human
KaitCrawford,praekeltfoundation/molo.surveys,34,9.0,26,0.04482691250715698,Human
daschult,Azure/ms-rest-azure-js,64,26.0,30,0.041835931454249825,Human
RikkiGibson,Azure/ms-rest-azure-js,36,9.0,27,0.04038485830842654,Human
rdmurphy,california-civic-data-coalition/django-postgres-copy,19,0.0,19,0.02408071210978343,Human
palewire,california-civic-data-coalition/django-postgres-copy,100,5.0,93,0.036781132708635464,Human
andersondalmina,Coderockr/vitrine-social,96,12.0,52,0.07038889139905827,Human
juliabpp,Coderockr/vitrine-social,100,32.0,34,0.12585316153248727,Human
ljharb,pwmckenna/node-travis-ci,20,0.0,20,0.0271219362299025,Human
tylertreat,liftbridge-io/liftbridge,100,8.0,93,0.03806544047033253,Human
stereobooster,stereobooster/react-snap,100,1.0,95,0.03199755346374834,Human
jdeeburke,skyverge/wc-plugin-framework,15,0.0,15,0.044904536095424955,Human
mikaoj,mikaoj/BSImagePicker,100,1.0,99,0.03523811275129075,Human
hamzahamidi,hamzahamidi/ajsf,100,30.0,67,0.034259665484108116,Human
davesque,ethereum/eth-abi,100,0.0,98,0.036219866945700285,Human
francisco-maciel,criticalmanufacturing/dev-tasks,14,4.0,11,0.03339958740103985,Human
jpw547,byuoitav/configuration-database-tool,24,24.0,1,0.0,Human
edgurgel,edgurgel/tentacat,100,0.0,78,0.046235587895148866,Human
dmacthedestroyer,infobloxopen/protoc-gen-gorm,31,7.0,25,0.039180352054568476,Human
dylans,dojo/dijit,74,12.0,60,0.03859801402514493,Human
haikuoliu,aws/amazon-ecs-init,14,0.0,8,0.1239862075609234,Bot
MattHodge,MattHodge/terraform-provider-octopusdeploy,25,8.0,18,0.0314284280592266,Human
pmarks,rust-bio/rust-bio,46,0.0,46,0.02769222112520871,Human
johngian,mozilla/mozilla-django-oidc,100,22.0,71,0.03880264136909088,Human
dipinhora,ponylang/pony-stable,46,6.0,36,0.03622493402490932,Human
spartan218,Backblaze/B2_Command_Line_Tool,19,1.0,19,0.03710372244319361,Human
ppolewicz,Backblaze/B2_Command_Line_Tool,100,3.0,98,0.03565018367753398,Human
bwbeach,Backblaze/B2_Command_Line_Tool,100,3.0,98,0.03503891179151571,Human
mickhansen,burstable/node-beanstalkd-client,19,0.0,18,0.030999932662680762,Human
luizbranco,manifoldco/manifold-cli,91,20.0,65,0.0434797681631802,Human
manifold-listbot,manifoldco/manifold-cli,100,0.0,1,0.0,Bot
tim-speed,manifoldco/manifold-cli,26,1.0,26,0.035287938714287266,Human
SeanHayes,google/gif-for-cli,35,0.0,34,0.031168150068771182,Human
beyerleinf,beyerleinf/ngx-dnd,56,5.0,45,0.0451417313444006,Human
wessmith,button/button-merchant-ios,44,2.0,42,0.03907519465405673,Human
dkent600,daostack/arc.js,80,1.0,77,0.03151786307247303,Human
gerkovink,stefvanbuuren/mice,100,0.0,96,0.0324503472636366,Human
stefvanbuuren,stefvanbuuren/mice,100,0.0,98,0.029269007025597798,Human
genevieve,genevieve/leftovers,100,7.0,90,0.036591818683645694,Human
rowanjacobs,genevieve/leftovers,59,0.0,47,0.04236276343653332,Human
derkan,samonzeweb/godb,68,0.0,67,0.028752529517014257,Human
dgoodwin,openshift/cluster-operator,100,3.0,60,0.03209069983876039,Human
csrwng,openshift/cluster-operator,100,2.0,60,0.036997783679467905,Human
martindurant,intake/intake-xarray,100,2.0,99,0.031501715555190914,Human
matthewdfuller,cloudsploit/scans,100,9.0,72,0.05558041428773725,Human
fredliporace,sat-utils/sat-api,19,0.0,19,0.03637900843449261,Human
fliptaboada,laboratoriobridge/validation,16,14.0,3,0.0004208618228718223,Human
mh-park,thriftrw/thriftrw-go,20,2.0,17,0.03326936291282341,Human
CLAassistant,thriftrw/thriftrw-go,49,0.0,2,0.21204633719636398,Bot
darrachequesne,socketio/socket.io,100,0.0,74,0.03686140582520187,Human
boz,ovrclk/akash,100,2.0,95,0.029118294331498904,Human
bradvogel,mixmaxhq/mongo-cursor-pagination,88,13.0,71,0.035943624355011285,Human
gustavosbarreto,UpdateHub/updatehub,100,48.0,13,0.02513164353985827,Human
cbwebdevelopment,tidepool-org/viz,/,/,/,/,/
cpu,letsencrypt/ct-woodpecker,100,2.0,97,0.033231997557667856,Human
brendan-ward,consbio/mbgl-renderer,100,1.0,94,0.038448385678327646,Human
akrabat,slimphp/Slim-Skeleton,66,0.0,61,0.033797162809624616,Human
t-kelly,Shopify/theme-scripts,71,1.0,69,0.030534903532432548,Human
jonathanmoore,Shopify/theme-scripts,12,0.0,12,0.035068629764203454,Human
dan-gamble,Shopify/theme-scripts,17,0.0,17,0.03065117451093131,Human
scotttrinh,ca-la/bin,15,0.0,15,0.031104433831473436,Human
dylanpyle,ca-la/bin,15,0.0,15,0.030095338227768886,Human
varahash,ngs-doo/dsl-json,78,8.0,68,0.03401820764396283,Human
nikhilym,alexa/alexa-skills-kit-sdk-for-python,100,0.0,83,0.054103441362718656,Human
suzuki-shunsuke,suzuki-shunsuke/akoi,82,57.0,25,0.017125225039017592,Human
