Compte,lev,Type
shred,60.5,Human
sunng87,86.5,Human
rpearce,68.5,Human
Grsmto,30.5,Human
ikalchev,35.0,Human
rabbah,43.0,Human
oxinabox,96.0,Human
fleaz,66.5,Human
mpostol,30.0,Human
geek,71.0,Human
Marsup,31.0,Human
joshiste,29.0,Human
scls19fr,31.0,Human
jbgi,32.5,Human
josemduarte,29.0,Human
NekR,36.0,Human
ernscht,68.5,Human
mscuthbert,41.0,Human
Silverwolf90,32.0,Human
sorentwo,42.0,Human
foxdonut,39.0,Human
ChaseWiseman,60.0,Human
unfulvio,34.0,Human
ctalkington,40.0,Human
dbfannin,25.0,Human
xmorera,59.0,Human
oskarrough,72.5,Human
bodewig,30.0,Human
srowen,38.0,Human
JesusFreke,39.5,Human
manast,40.0,Human
sheppard,71.5,Human
tomaka,34.0,Human
geoperez,23.0,Human
erdi,35.0,Human
chris-smith,62.5,Human
anwar6953,100.0,Human
surli,25.0,Human
tonsky,40.0,Human
rbuels,29.5,Human
cmdcolin,32.0,Human
NHDaly,93.0,Human
vito,32.0,Human
romanz,22.0,Human
linvi,61.0,Human
stephenmcd,53.0,Human
bendrucker,36.5,Human
Maryom,33.0,Human
Mazyod,33.0,Human
vlad-km,56.0,Human
theotherphil,69.5,Human
mvantellingen,18.0,Human
kcooney,35.5,Human
sangleganesh,38.0,Human
jeromegamez,39.0,Human
JohnnyCrazy,66.0,Human
dantleech,65.5,Human
kachayev,70.0,Human
harlow,40.0,Human
nao-pon,26.0,Human
nblumhardt,34.0,Human
macdonst,32.0,Human
mshibuya,30.5,Human
athas,26.0,Human
adamhsparks,34.0,Human
WebReflection,30.0,Human
wasabeef,63.5,Human
dsander,34.0,Human
herom,36.5,Human
sorawee,26.0,Human
rodrigograca31,36.0,Human
guillermooo,34.0,Human
gregturn,100.0,Human
miloyip,23.0,Human
peyerluk,32.0,Human
BoboTiG,27.0,Human
sagalbot,31.0,Human
ericbottard,29.0,Human
bottlenecked,71.0,Human
bbottema,30.0,Human
TurekBot,61.0,Human
ztalbot2000,22.0,Human
jjrobothamho,68.0,Human
wking-io,60.5,Human
afterwind-io,100.0,Human
viralogic,24.5,Human
QuLogic,30.0,Human
scoder,28.5,Human
colethecoder,57.0,Human
fancycode,30.0,Human
codelucas,24.0,Human
typicode,30.0,Human
codeandcats,61.0,Human
fabiosantoscode,27.0,Human
codebude,35.0,Human
CoderZhi,63.5,Human
picocodes,29.0,Human
X-Coder264,70.5,Human
tricoder42,65.5,Human
fubar-coder,38.0,Human
ecocode,32.0,Human
Intellicode,68.5,Human
NamelessCoder,31.0,Human
codeworrior,34.0,Human
chancancode,47.0,Human
qwcode,27.5,Human
yscoder,17.0,Human
codeodor,44.0,Human
codedread,26.0,Human
felixcodes,66.5,Human
codecalm,15.0,Human
codebrain,100.0,Human
donotcodeit,34.0,Human
bencodezen,60.5,Human
gloriousCode,53.0,Human
codedance,42.0,Human
devcodewak,54.0,Human
codeaholics,32.0,Human
php-coder,62.0,Human
Stefan-Code,67.0,Human
mats-claassen,54.5,Human
as-cii,56.0,Human
bors-ltd,63.0,Human
tiborsimko,60.0,Human
borsboom,25.0,Human
spinlock,16.0,Human
grantjenks,47.0,Human
pocketjoso,30.0,Human
