Compte,empty,Type
gerkovink,4.166666666666666,Human
stefvanbuuren,71.42857142857143,Human
rowanjacobs,0.0,Human
derkan,0.0,Human
dgoodwin,15.714285714285714,Human
csrwng,16.0,Human
martindurant,33.33333333333333,Human
matthewdfuller,51.162790697674424,Human
fredliporace,0.0,Human
fliptaboada,93.33333333333333,Human
mh-park,14.285714285714285,Human
darrachequesne,31.343283582089555,Human
boz,37.219730941704036,Human
bradvogel,56.52173913043478,Human
gustavosbarreto,48.0,Human
cpu,2.3255813953488373,Human
brendan-ward,0.0,Human
akrabat,0.0,Human
t-kelly,5.88235294117647,Human
jonathanmoore,0.0,Human
scotttrinh,0.0,Human
dylanpyle,0.0,Human
varahash,40.0,Human
nikhilym,0.0,Human
suzuki-shunsuke,72.72727272727273,Human
taion,76.92307692307693,Human
tdewolff,46.15384615384615,Human
liabru,0.0,Human
Roasbeef,28.57142857142857,Human
Shouqun,86.20689655172413,Human
oleavr,100.0,Human
smikula,45.45454545454545,Human
hadjipantelis,5.555555555555555,Human
topepo,42.857142857142854,Human
slr71,46.666666666666664,Human
dgassaway,14.399999999999999,Human
mcdonc,0.0,Human
bertjwregeer,20.0,Human
prescottprue,2.083333333333333,Human
hnovikov,11.11111111111111,Human
Christina-Kang,0.0,Human
samedder,35.714285714285715,Human
akshayjshah,0.0,Human
buschtoens,0.0,Human
dfreeman,17.142857142857142,Human
papandreou,0.0,Human
sumitkdey,100.0,Human
texastoland,0.0,Human
JamesHenry,38.775510204081634,Human
jpcarzolio,23.52941176470588,Human
tnrich,80.0,Human
krystophv,11.11111111111111,Human
oyed,0.0,Human
waigani,31.746031746031743,Human
emersonwood,72.41379310344827,Human
colin-marshall,0.0,Human
jayair,100.0,Human
fetrarij,63.1578947368421,Human
tiggerntatie,93.87755102040816,Human
nazrhom,7.2727272727272725,Human
fzerorubigd,66.66666666666666,Human
SirePi,6.451612903225806,Human
ilexp,29.411764705882355,Human
jamienoss,0.0,Human
pllim,1.7543859649122806,Human
JoshKarpel,13.095238095238097,Human
comtihon,28.57142857142857,Human
GermanBluefox,25.0,Human
Tanner-MS,0.0,Human
wcjordan,2.7777777777777777,Human
wernerglinka,100.0,Human
feltech,0.0,Human
ZNick1982,38.46153846153847,Human
frankus,14.814814814814813,Human
Scrum,100.0,Human
joelmartinez,37.5,Human
nelio2k,29.82456140350877,Human
heynext,50.0,Human
norkans7,82.6086956521739,Human
sharafian,10.81081081081081,Human
jmmv,19.767441860465116,Human
diogonicoleti,0.0,Human
Mogball,89.28571428571429,Human
kytrinyx,2.6143790849673203,Human
pstehlik,60.0,Human
manofstick,0.0,Human
iamcal,48.148148148148145,Human
ARolek,50.0,Human
mrmrs,25.0,Human
heyzooi,32.34421364985163,Human
Widdershin,11.11111111111111,Human
staltz,3.225806451612903,Human
kashike,0.0,Human
sameb,61.36363636363637,Human
jamiealquiza,28.64864864864865,Human
grofit,0.0,Human
OndraM,81.25,Human
jridgewell,20.388349514563107,Human
jkasten2,12.5,Human
djhouseknecht,69.56521739130434,Human
gliptak,28.57142857142857,Human
WSmonkey,100.0,Human
jessepeterson,33.33333333333333,Human
istarkov,19.565217391304348,Human
ludwigschubert,27.27272727272727,Human
Ntonio36,30.23255813953488,Human
maxbrunsfeld,9.090909090909092,Human
Nightsd01,0.0,Human
b4dnewz,0.0,Human
anishkny,80.55555555555556,Human
vitorbal,21.428571428571427,Human
asyncanup,58.06451612903226,Human
jpeach,22.22222222222222,Human
zalmoxisus,0.0,Human
rnojiri,66.66666666666666,Human
ajoymajumdar,41.05263157894737,Human
qoomon,100.0,Human
michelvocks,23.52941176470588,Human
Skarlso,49.275362318840585,Human
abhinav,13.059701492537313,Human
johnstill,22.22222222222222,Human
zachferland,50.0,Human
ryan-rs,5.405405405405405,Human
kerrykimbrough,66.66666666666666,Human
annstriganova,92.3076923076923,Human
sseide,12.82051282051282,Human
mitsuhiko,40.0,Human
rmfitzpatrick,0.0,Human
Nihlus,0.0,Human
luchotc,26.08695652173913,Human
rodri042,8.108108108108109,Human
flbulgarelli,28.000000000000004,Human
hanabi1224,100.0,Human
vkcn,60.86956521739131,Human
snakefoot,29.03225806451613,Human
JDetmar,66.66666666666666,Human
wilzbach,31.25,Human
Hackerpilot,72.22222222222221,Human
FireController1847,19.047619047619047,Human
fent,16.666666666666664,Human
wieslawsoltes,66.0377358490566,Human
cugini-dbx,66.66666666666666,Human
greatislander,0.0,Human
schlessera,52.94117647058824,Human
dabernathy89,66.66666666666666,Human
jasonyin,14.285714285714285,Human
lukasz-pyrzyk,91.66666666666666,Human
peburrows,42.857142857142854,Human
mattsb42-aws,0.0,Human
ef4,28.57142857142857,Human
bcomnes,4.3478260869565215,Human
futuregerald,33.33333333333333,Human
calavera,2.1739130434782608,Human
editicalu,78.57142857142857,Human
mhammond,57.14285714285714,Human
jaffee,25.0,Human
chessai,80.0,Human
andrewthad,100.0,Human
alexgrozav,28.40909090909091,Human
MabezDev,71.42857142857143,Human
mauricius,66.66666666666666,Human
Shesekino,100.0,Human
rossta,34.72222222222222,Human
farskipper,24.0,Human
csvenke,75.0,Human
nkubala,41.55844155844156,Human
grant-d,39.053254437869825,Human
jcdickinson,32.83582089552239,Human
lpinca,0.0,Human
3rd-Eden,0.0,Human
kvesteri,80.0,Human
johnduarte,0.0,Human
rdvelazquez,26.08695652173913,Human
MonkeyDZeke,0.0,Human
dboskovic,33.33333333333333,Human
pokoli,60.0,Human
rodrigc,100.0,Human
pedrobaeza,0.0,Human
kataras,100.0,Human
lucasvo,89.47368421052632,Human
justmoon,24.074074074074073,Human
CodyReichert,0.0,Human
shomron,2.380952380952381,Human
hdevalence,17.307692307692307,Human
jimmynotjim,0.0,Human
williamjamir,75.0,Human
max3903,60.0,Human
murtuzasaleh,0.0,Human
gmyenni,73.07692307692307,Human
gmcdev,94.73684210526315,Human
felixfiskare,33.33333333333333,Human
LJaraCastillo,0.0,Human
wjgilmore,69.23076923076923,Human
kaczmarj,22.36024844720497,Human
ezesplit,46.666666666666664,Human
patricioe,72.22222222222221,Human
estambakio-sc,12.903225806451612,Human
dustinmm80,50.0,Human
sgnn7,13.636363636363635,Human
fearthecowboy,80.0,Human
tsloughter,49.056603773584904,Human
andmos,73.58490566037736,Human
arvenil,48.333333333333336,Human
SolomoN-ua,0.0,Human
kkemple,50.0,Human
dchabot,0.0,Human
newville,2.631578947368421,Human
hhslepicka,33.33333333333333,Human
Rich-Harris,25.0,Human
jpic,93.10344827586206,Human
wbhob,8.333333333333332,Human
FezVrasta,20.0,Human
bdunne,30.23255813953488,Human
xz64,0.0,Human
yoheimuta,77.77777777777779,Human
tcollignon,0.0,Human
timperrett,100.0,Human
kawych,71.9298245614035,Human
cwtuan,85.0,Human
pepyakin,43.373493975903614,Human
sschmidTU,0.0,Human
0xfe,0.0,Human
afc163,14.285714285714285,Human
jonahgraham,35.294117647058826,Human
eikenb,0.0,Human
RobinBuschmann,71.875,Human
nicknisi,0.0,Human
wkeese,0.0,Human
brianegan,0.0,Human
ababic,42.857142857142854,Human
MarekKojder,51.35135135135135,Human
alexlamsl,0.0,Human
Link512,64.28571428571429,Human
kood1,13.636363636363635,Human
Ghnuberath,29.78723404255319,Human
fm-tibco,34.21052631578947,Human
palypster,100.0,Human
cblomart,56.52173913043478,Human
martinRenou,58.82352941176471,Human
kristfal,0.0,Human
rejas,21.73913043478261,Human
mjpt777,0.0,Human
faizanahmad055,27.500000000000004,Human
thiagobustamante,0.0,Human
chuckdumont,76.5873015873016,Human
g105b,73.68421052631578,Human
sammynx,47.5,Human
jalvz,36.92307692307693,Human
tsurdilo,36.49851632047478,Human
gruberrolandvaltech,91.66666666666666,Human
Naktibalda,33.33333333333333,Human
MaikuB,56.372549019607845,Human
dasiths,94.44444444444444,Human
saniales,62.264150943396224,Human
bitbager,100.0,Human
zBritva,83.33333333333334,Human
nical,21.83622828784119,Human
akurilov,77.27272727272727,Human
vanniktech,72.3404255319149,Human
marc92w,37.5,Human
GreLI,0.0,Human
dkukharau,40.0,Human
bjodah,75.26881720430107,Human
eternoendless,0.0,Human
Valodya,59.70149253731343,Human
rashmigs1993,100.0,Human
doroginin,47.61904761904761,Human
osherdp,33.33333333333333,Human
krasoffski,0.0,Human
shekhardahore,72.97297297297297,Human
thrawn01,26.666666666666668,Human
andresgnlez,6.25,Human
phaazon,68.3982683982684,Human
daniel-nichter,42.42424242424242,Human
acouch,18.75,Human
nathanbowser,24.413145539906104,Human
mattsgarlata,63.63636363636363,Human
missinglink,0.0,Human
vmx,16.666666666666664,Human
achingbrain,23.52941176470588,Human
bakoe,16.666666666666664,Human
davegurnell,7.6923076923076925,Human
pvillega,0.0,Human
eduardoboucas,28.888888888888886,Human
unlucio,80.0,Human
AaronHForgeFlow,3.75,Human
bsnacks000,7.142857142857142,Human
midnight-wonderer,0.0,Human
bojeil-google,46.34146341463415,Human
ngoldbaum,4.411764705882353,Human
vperron,11.76470588235294,Human
johnwmillr,7.142857142857142,Human
javagl,33.33333333333333,Human
Robdel12,8.333333333333332,Human
andrew-boyarshin,10.714285714285714,Human
mungojam,8.823529411764707,Human
hvanbakel,36.36363636363637,Human
jdef,36.04651162790697,Human
johannwagner,37.5,Human
felixrindt,0.0,Human
ssm,50.0,Human
ralphtheninja,0.0,Human
