Compte,lev,Type
nemesisdesign,34.0,Human
rohithasrk,32.0,Human
GuillaumeJasmin,33.0,Human
jamesplease,26.0,Human
CendioOssman,35.0,Human
DirectXMan12,34.0,Human
SebastienElet,33.5,Human
foxriver76,36.0,Human
hippiehunter,40.0,Human
akyoto,34.0,Human
divyenduz,43.0,Human
keichinger,39.0,Human
dannyjacobs,31.0,Human
wadackel,52.0,Human
riceric22,36.0,Human
radu-matei,22.0,Human
ripienaar,20.0,Human
danwalmsley,36.0,Human
feross,26.0,Human
messense,15.0,Human
LKI,27.0,Human
Samuell1,38.0,Human
bhauman,15.0,Human
kasparsd,32.0,Human
frerich,60.0,Human
Cascades,65.0,Human
floehopper,25.0,Human
autarch,47.5,Human
vmchukky,35.0,Human
chelm,42.0,Human
BenoitZugmeyer,65.0,Human
ttacon,63.5,Human
j-f1,49.0,Human
corbinu,35.0,Human
JayVora-SerpentCS,67.5,Human
tiliev,32.0,Human
GuilhemN,33.0,Human
dr-dimitru,24.0,Human
beanieboi,58.0,Human
gregsdennis,31.0,Human
davesmith00000,23.0,Human
wolfy-j,28.0,Human
poy,31.0,Human
mweststrate,29.0,Human
jjd314,64.5,Human
vberger,31.0,Human
boopathi,27.0,Human
cekk,35.5,Human
daffidwilde,26.0,Human
lafita,32.0,Human
Jason3S,21.0,Human
Mahsaap,26.0,Human
janeeisenstein,32.0,Human
Sacharified,38.5,Human
jhkennedy,32.0,Human
insomniacslk,29.0,Human
ericsoderberghp,32.0,Human
tonivade,15.5,Human
cpcloud,39.0,Human
wesm,35.0,Human
alixdamman,6.0,Human
chinedufn,28.5,Human
BoldMonday,52.0,Human
seejamescode,27.0,Human
StevenMaude,26.5,Human
kb2623,57.5,Human
guewen,30.0,Human
sbidoul,33.5,Human
stalniy,18.0,Human
basvanbeek,65.0,Human
laurentlb,39.0,Human
alandonovan,30.0,Human
jgrund,28.0,Human
larsonjj,34.0,Human
chazeon,31.0,Human
omangin,23.0,Human
iocanel,30.5,Human
narr,29.0,Human
mjs,35.0,Human
abetomo,32.5,Human
slimslenderslacks,3.0,Human
jdsutherland,56.0,Human
imedina,38.0,Human
shepmaster,28.5,Human
carllerche,10.0,Human
stepancheg,26.0,Human
DiegoRBaquero,22.0,Human
GlenDC,20.0,Human
udl,40.0,Human
stephendonner,72.0,Human
python273,27.0,Human
nange,12.0,Human
danez,30.0,Human
diasbruno,30.0,Human
RichardKnop,40.0,Human
davehunt,35.0,Human
JustBlackBird,39.0,Human
tkruse,39.0,Human
mmerickel,32.5,Human
swlkr,12.0,Human
dormando,28.0,Human
shawnbot,36.5,Human
dlipovetsky,23.0,Human
lamhieu-vk,46.0,Human
ericodell,25.0,Human
ashleygould,33.0,Human
andrehp,31.0,Human
joshuaskelly,38.0,Human
Chiiruno,27.0,Human
bakape,12.0,Human
stevepiercy,98.0,Human
mirko-pagliai,69.0,Human
maxiwoj,33.0,Human
SylwiaGargula,64.5,Human
tisba,37.5,Human
Julien-Molina,100.0,Human
ben181231,34.0,Human
LinusU,61.5,Human
mindthegab,48.0,Human
jasonz1987,29.0,Human
36degrees,31.0,Human
DmitryBaranovskiy,21.0,Human
Senyoret1,9.0,Human
gz-c,42.0,Human
bitprophet,30.0,Human
FlyingBird95,33.0,Human
smoench,33.0,Human
Mulugruntz,25.0,Human
scottinet,38.0,Human
cryptobioz,100.0,Human
displague,31.0,Human
kevinadi,36.0,Human
rpl,31.0,Human
whiskeysierra,100.0,Human
JeroenDeDauw,27.0,Human
mwjames,30.5,Human
gambol99,29.0,Human
calum-chamberlain,34.0,Human
adkerr,25.0,Human
leejarvis,31.0,Human
brarcher,34.0,Human
cosven,12.0,Human
mpsido,33.0,Human
hanwen,25.0,Human
mminns,29.0,Human
epels,64.5,Human
matkoch,20.0,Human
temsa,38.5,Human
theofidry,30.0,Human
duergner,37.0,Human
danpersa,30.0,Human
gdementen,24.0,Human
dokato,38.0,Human
mmoreram,40.5,Human
palashmon,36.0,Human
martin31821,38.0,Human
mfherbst,34.0,Human
dmitrizzle,30.0,Human
tadashi-aikawa,20.0,Human
glennsl,29.0,Human
shahidhk,18.5,Human
abz53378,18.0,Human
sonofmun,32.0,Human
PonteIneptique,12.0,Human
jone,36.0,Human
jayands,63.0,Human
themasch,33.0,Human
nomiddlename,36.0,Human
1991wangliang,5.0,Human
CarstenHollmann,35.0,Human
davidgoli,28.0,Human
9seconds,34.0,Human
anthonychu,25.0,Human
dannyvankooten,24.0,Human
phax,29.0,Human
archerzz,27.0,Human
sdboyer,33.0,Human
kevinburke,31.0,Human
codingjoe,32.0,Human
leo,15.0,Human
zibs,65.5,Human
aichholzer,68.0,Human
javabrett,39.0,Human
probablyup,36.0,Human
YOUR-WORST-TACO,68.5,Human
deviantfero,21.0,Human
leemannd,61.0,Human
AlCalzone,27.0,Human
mariomka,70.0,Human
lukasgraf,62.5,Human
mar10,21.0,Human
julianschiavo,37.0,Human
jcampbell05,37.0,Human
AvdLee,29.0,Human
Boris-Em,37.0,Human
martinpaljak,9.0,Human
StefH,16.0,Human
adamwaite,16.0,Human
serathius,29.0,Human
akosyakov,40.0,Human
svenefftinge,50.0,Human
obiot,32.0,Human
Loque-,24.0,Human
Lukas0907,25.0,Human
opichals,71.5,Human
3lvis,18.0,Human
mgravell,27.0,Human
NickCraver,24.0,Human
zachborboa,22.0,Human
zxol,32.0,Human
madskristensen,100.0,Human
AlanSl,35.0,Human
geovanisouza92,33.0,Human
SimonVT,65.0,Human
zombieJ,41.0,Human
VeaaC,31.0,Human
boxdot,31.0,Human
emilianodellacasa,33.0,Human
yegor256,23.0,Human
ypshenychka,74.5,Human
bboreham,23.0,Human
lckr,38.5,Human
dhirschfeld,29.5,Human
laumann,33.0,Human
etingof,36.0,Human
arnaudroger,24.0,Human
c3dr0x,30.0,Human
Tobion,69.0,Human
leth,66.0,Human
tomwilkie,30.0,Human
sushanthakumar,32.0,Human
nirinchev,31.0,Human
shytikov,44.5,Human
rmeissner,32.0,Human
Georgi87,38.0,Human
haraldk,22.0,Human
MihaiTabara,29.0,Human
mrhead,38.5,Human
barnabasJ,68.5,Human
gunnihinn,38.0,Human
AlekseyMartynov,20.0,Human
prolic,28.0,Human
kelunik,23.0,Human
stefanpenner,29.0,Human
sjperkins,28.0,Human
PizzaBrandon,38.5,Human
davetcc,36.0,Human
roxana-muresan,32.0,Human
scottgigante,57.0,Human
rdeits,33.0,Human
travigd,31.0,Human
dmethvin-gov,30.0,Human
annekainicUSDS,29.0,Human
dhmlau,31.0,Human
basst314,69.5,Human
timpalpant,67.5,Human
vadimtsushko,69.0,Human
aviau,26.0,Human
stapelberg,19.5,Human
nicoddemus,18.0,Human
RonnyPfannschmidt,34.0,Human
clarsonneur,8.0,Human
pveentjer,6.0,Human
dtantsur,20.0,Human
blink1073,56.5,Human
mattstauffer,28.0,Human
tj,27.0,Human
satyaranjanp,22.5,Human
sstok,31.0,Human
Propanu,39.0,Human
clayreimann,15.0,Human
michaelleeallen,70.5,Human
niksy,31.0,Human
vdboor,35.0,Human
haroal,37.0,Human
Victor804,36.0,Human
jtuttle,38.0,Human
dceejay,67.0,Human
jakzal,33.5,Human
mbjoseph,36.0,Human
k1LoW,20.0,Human
amasad,50.0,Human
mzgoddard,31.0,Human
EgorBo,26.0,Human
edbizarro,100.0,Human
mmatczuk,24.0,Human
wojtek0806,17.0,Human
GromNaN,36.0,Human
jc00ke,22.0,Human
filipsch,26.0,Human
rxaviers,22.0,Human
mbacovsky,18.5,Human
darodi,24.5,Human
dsanchezseco,35.0,Human
jzaefferer,33.0,Human
sernst,36.0,Human
Karamuto,68.0,Human
udos86,19.0,Human
ajdapretnar,31.0,Human
jwinzer,32.0,Human
FinnStutzenstein,27.0,Human
norio-nomura,18.0,Human
jpsim,28.0,Human
viljamis,10.0,Human
jmcs,74.0,Human
martincostello,63.0,Human
brennerm,100.0,Human
brandonocasey,34.0,Human
jechols,38.0,Human
thomseddon,14.0,Human
mjsalinger,32.0,Human
czyzby,24.0,Human
krichter722,32.0,Human
sf105,36.0,Human
jimlambie,29.0,Human
samtstern,25.5,Human
