Compte,lev,Type
Skarlso,2.0,Human
abhinav,18.0,Human
johnstill,27.0,Human
zachferland,1.0,Human
ryan-rs,36.0,Human
kerrykimbrough,33.0,Human
annstriganova,100.0,Human
sseide,26.0,Human
mitsuhiko,10.0,Human
rmfitzpatrick,45.0,Human
Nihlus,36.0,Human
luchotc,14.5,Human
rodri042,21.0,Human
flbulgarelli,13.5,Human
hanabi1224,100.0,Human
vkcn,21.0,Human
snakefoot,15.0,Human
JDetmar,100.0,Human
wilzbach,25.0,Human
Hackerpilot,100.0,Human
FireController1847,27.0,Human
fent,14.5,Human
wieslawsoltes,21.5,Human
cugini-dbx,100.0,Human
schlessera,20.0,Human
dabernathy89,100.0,Human
jasonyin,16.0,Human
lukasz-pyrzyk,100.0,Human
peburrows,32.0,Human
mattsb42-aws,38.0,Human
ef4,10.0,Human
bcomnes,26.0,Human
futuregerald,28.0,Human
calavera,56.0,Human
editicalu,100.0,Human
mhammond,7.0,Human
jaffee,22.0,Human
chessai,100.0,Human
andrewthad,100.0,Human
alexgrozav,52.0,Human
MabezDev,100.0,Human
mauricius,100.0,Human
Shesekino,100.0,Human
rossta,6.0,Human
farskipper,18.0,Human
csvenke,100.0,Human
nkubala,3.0,Human
grant-d,13.0,Human
jcdickinson,15.0,Human
lpinca,29.0,Human
3rd-Eden,69.5,Human
kvesteri,100.0,Human
johnduarte,45.5,Human
rdvelazquez,23.0,Human
MonkeyDZeke,28.5,Human
dboskovic,37.0,Human
pokoli,54.0,Human
pedrobaeza,78.5,Human
kataras,100.0,Human
lucasvo,100.0,Human
justmoon,18.0,Human
CodyReichert,32.0,Human
shomron,33.0,Human
hdevalence,23.0,Human
jimmynotjim,49.0,Human
williamjamir,100.0,Human
max3903,6.0,Human
murtuzasaleh,25.5,Human
gmyenni,100.0,Human
gmcdev,100.0,Human
felixfiskare,13.0,Human
LJaraCastillo,38.0,Human
wjgilmore,100.0,Human
kaczmarj,13.0,Human
ezesplit,13.5,Human
patricioe,100.0,Human
estambakio-sc,7.0,Human
dustinmm80,25.0,Human
sgnn7,27.5,Human
fearthecowboy,100.0,Human
tsloughter,19.0,Human
andmos,100.0,Human
arvenil,2.0,Human
SolomoN-ua,22.0,Human
kkemple,12.0,Human
dchabot,31.0,Human
newville,31.0,Human
hhslepicka,12.0,Human
Rich-Harris,16.0,Human
jpic,100.0,Human
wbhob,85.0,Human
FezVrasta,9.0,Human
bdunne,12.0,Human
xz64,70.0,Human
yoheimuta,100.0,Human
tcollignon,57.5,Human
timperrett,100.0,Human
kawych,100.0,Human
cwtuan,100.0,Human
pepyakin,2.0,Human
sschmidTU,31.0,Human
0xfe,34.0,Human
afc163,44.0,Human
jonahgraham,15.0,Human
eikenb,31.0,Human
RobinBuschmann,100.0,Human
nicknisi,36.0,Human
wkeese,33.0,Human
brianegan,56.0,Human
ababic,25.5,Human
MarekKojder,25.0,Human
alexlamsl,19.5,Human
Link512,42.0,Human
kood1,27.5,Human
Ghnuberath,17.0,Human
fm-tibco,14.5,Human
palypster,100.0,Human
cblomart,17.0,Human
martinRenou,11.5,Human
kristfal,30.0,Human
rejas,16.0,Human
faizanahmad055,17.0,Human
chuckdumont,100.0,Human
g105b,100.0,Human
sammynx,8.0,Human
jalvz,7.0,Human
tsurdilo,11.0,Human
gruberrolandvaltech,100.0,Human
Naktibalda,18.0,Human
MaikuB,34.0,Human
dasiths,100.0,Human
saniales,15.0,Human
bitbager,100.0,Human
zBritva,100.0,Human
nical,28.0,Human
akurilov,100.0,Human
vanniktech,100.0,Human
marc92w,29.0,Human
GreLI,68.5,Human
dkukharau,1.0,Human
bjodah,100.0,Human
eternoendless,28.0,Human
Valodya,9.0,Human
rashmigs1993,100.0,Human
doroginin,15.5,Human
osherdp,28.0,Human
krasoffski,31.0,Human
shekhardahore,100.0,Human
thrawn01,19.0,Human
andresgnlez,31.0,Human
phaazon,100.0,Human
daniel-nichter,10.5,Human
acouch,23.0,Human
nathanbowser,10.0,Human
mattsgarlata,36.0,Human
missinglink,31.0,Human
vmx,33.5,Human
achingbrain,18.0,Human
bakoe,9.0,Human
davegurnell,28.0,Human
pvillega,38.5,Human
eduardoboucas,7.0,Human
unlucio,100.0,Human
