Compte,lev,Type
bailantaotao,17.0,Human
fooontic,100.0,Human
cuining,3.0,Human
ajayns,100.0,Human
PabloGarcimartin,100.0,Human
dborsatto,29.0,Human
ltparis2018,27.0,Human
JimGreenberg,32.0,Human
MindFlavor,16.0,Human
sohamkamani,100.0,Human
italolelis,50.0,Human
rShetty,21.0,Human
bgrainger,24.0,Human
tarampampam,100.0,Human
allencloud,28.0,Human
genomics-geek,20.0,Human
ymmt2005,14.0,Human
vmarkovtsev,90.0,Human
dhollinger,11.0,Human
amay077,100.0,Human
tomreid76,100.0,Human
AnthonyBloomer,100.0,Human
samussiah,34.0,Human
eed3si9n,11.0,Human
mikem8361,16.0,Human
garethahealy,100.0,Human
kazuki43zoo,16.0,Human
ebussieres,100.0,Human
jcfr,10.0,Human
mwbutcher,32.5,Human
zreichert,10.0,Human
msaps,0.0,Human
shrektan,3.0,Human
aelanman,100.0,Human
MatthewDolan,13.0,Human
sqweelygig,33.0,Human
tobilg,27.0,Human
PTaylour,100.0,Human
tyrchen,57.0,Human
matthewhanson,16.0,Human
sserrata,31.0,Human
AVVS,100.0,Human
twolfson,100.0,Human
sparhami,29.0,Human
ponychicken,23.0,Human
jonobr1,100.0,Human
jessfraz,100.0,Human
maartenbreddels,100.0,Human
MichaelAquilina,100.0,Human
timfallmk,14.0,Human
KaitCrawford,36.0,Human
daschult,26.0,Human
RikkiGibson,31.0,Human
rdmurphy,100.0,Human
palewire,100.0,Human
andersondalmina,19.0,Human
juliabpp,29.0,Human
ljharb,42.0,Human
tylertreat,13.0,Human
stereobooster,13.0,Human
jdeeburke,100.0,Human
mikaoj,20.0,Human
hamzahamidi,100.0,Human
davesque,100.0,Human
francisco-maciel,27.0,Human
edgurgel,22.0,Human
dmacthedestroyer,100.0,Human
dylans,89.0,Human
MattHodge,100.0,Human
pmarks,29.0,Human
johngian,13.0,Human
dipinhora,2.0,Human
spartan218,17.0,Human
ppolewicz,14.0,Human
bwbeach,16.0,Human
mickhansen,100.0,Human
tim-speed,16.0,Human
SeanHayes,100.0,Human
wessmith,31.0,Human
dkent600,39.0,Human
gerkovink,100.0,Human
stefvanbuuren,100.0,Human
rowanjacobs,19.5,Human
derkan,16.0,Human
dgoodwin,3.0,Human
csrwng,100.0,Human
martindurant,30.0,Human
matthewdfuller,100.0,Human
fredliporace,50.0,Human
fliptaboada,100.0,Human
mh-park,37.0,Human
darrachequesne,27.0,Human
boz,3.0,Human
bradvogel,11.0,Human
cpu,31.5,Human
brendan-ward,100.0,Human
akrabat,14.0,Human
t-kelly,31.5,Human
scotttrinh,100.0,Human
dylanpyle,100.0,Human
varahash,100.0,Human
nikhilym,1.0,Human
suzuki-shunsuke,13.0,Human
taion,100.0,Human
tdewolff,100.0,Human
liabru,100.0,Human
Roasbeef,22.0,Human
Shouqun,22.0,Human
oleavr,100.0,Human
smikula,32.0,Human
