Compte,lev,Type
pika-ci,99.0,Bot
balena-ci,76.0,Bot
yoshi-automation,98.0,Bot
request-info,100.0,Bot
github-actions,100.0,Bot
antv-bot,32.0,Bot
izhrobot,26.0,Bot
miki725,28.0,Human
wti806,35.0,Human
FrankD412,28.0,Human
ramya-rao-a,28.0,Human
yu199195,8.0,Human
erlepereira,34.0,Human
cjermain,31.0,Human
ericchiang,28.0,Human
SamHames,31.0,Human
edsu,30.0,Human
tkishel,32.0,Human
DavidS,40.0,Human
normj,33.0,Human
maxwellgerber,29.0,Human
tschaub,32.0,Human
wuxudong,28.0,Human
siddontang,29.0,Human
amyadzuki,35.5,Human
thomasp85,31.0,Human
y-takey,29.0,Human
robinmanuelthiel,32.0,Human
yurishkuro,30.0,Human
callum-oakley,34.0,Human
JesperLekland,34.0,Human
GSadee,46.0,Human
s0md3v,29.0,Human
AmauriC,29.0,Human
ralphbean,25.0,Human
chshersh,29.0,Human
slok,28.0,Human
yesmeck,19.0,Human
erikandre,39.0,Human
duncdrum,41.0,Human
nihalgonsalves,30.0,Human
captn3m0,27.0,Human
rsmekala,28.0,Human
bricesanchez,28.0,Human
chuanshuoye,10.0,Human
grgrzybek,51.0,Human
SamVerschueren,30.0,Human
peterbroadhurst,29.0,Human
rhelmot,29.0,Human
redgeoff,24.0,Human
justinlittman,36.0,Human
jsemler,33.0,Human
smithad15,28.0,Human
ihacku,10.0,Human
jancajthaml,60.0,Human
joelrebel,29.0,Human
jeffgbutler,32.0,Human
Kiikurage,8.0,Human
GaoJiasheng,10.0,Human
Zales0123,33.5,Human
faisalman,26.0,Human
HazAT,30.0,Human
salgum1114,24.0,Human
kkoumantaros,34.5,Human
wnxn,13.0,Human
gbastien,30.0,Human
vincentfretin,32.0,Human
sbinet,25.0,Human
DvdMgr,25.0,Human
springmeyer,28.0,Human
jaumard,29.0,Human
ciscoheat,32.0,Human
ElRaptorus,97.5,Human
mosquito,21.0,Human
snoyberg,31.0,Human
thedrow,35.0,Human
auvipy,27.0,Human
decadence,25.0,Human
peterdettman,32.0,Human
NickNeck,25.0,Human
cmswalker,31.0,Human
alvarotrigo,28.0,Human
galvesribeiro,28.0,Human
syndbg,26.0,Human
iwasaki-kenta,30.0,Human
hSaria,26.0,Human
scottbedard,27.5,Human
LukeTowers,32.0,Human
jaredallard,32.0,Human
Hypnosphi,29.0,Human
csoltenborn,32.0,Human
s-nakajima,52.0,Human
rminnich,34.5,Human
jmrodri,18.0,Human
faiface,31.0,Human
markya0616,34.0,Human
fredwangwang,24.0,Human
matfish2,31.0,Human
ClaraBuettner,31.0,Human
doug-martin,31.0,Human
ai,30.0,Human
w0rm,31.0,Human
alshakero,26.0,Human
daviscabral,33.0,Human
aksonov,30.0,Human
kud,26.5,Human
vieron,29.0,Human
silasdavis,53.5,Human
tophsic,24.0,Human
sabas,29.0,Human
sfriedel,35.0,Human
chris-ramon,28.0,Human
bootstraponline,34.0,Human
visualfc,16.0,Human
cordoval,36.0,Human
stephpy,27.0,Human
mhchia,24.0,Human
revolunet,29.0,Human
dingo-d,28.0,Human
TriangleJuice,31.0,Human
mhallin,34.0,Human
alimanfoo,28.0,Human
soffchen,28.0,Human
nadoo,29.0,Human
BryanApellanes,62.0,Human
drewsonne,26.0,Human
KacperMadej,30.0,Human
cvasseng,33.0,Human
gregberge,28.0,Human
gfinak,23.0,Human
andrewimm,32.0,Human
jdolitsky,29.0,Human
mykola-mokhnach,31.0,Human
scottcorgan,28.0,Human
jongmoon,22.0,Human
Arkounay,28.0,Human
integrii,29.0,Human
shockey,32.0,Human
jaqx0r,31.0,Human
sequoiaat,33.0,Human
kinggoesgaming,27.0,Human
jrobeson,35.0,Human
lucaslorentz,30.0,Human
ruimarinho,31.0,Human
tomkerkhove,28.0,Human
vlttnv,62.5,Human
Gbuomprisco,32.0,Human
ondrej-fabry,26.5,Human
DjebbZ,29.0,Human
MortalFlesh,66.5,Human
maciejtreder,29.0,Human
dcousens,25.0,Human
ekohl,33.0,Human
marjan-georgiev,29.0,Human
tartley,31.0,Human
junderw,27.0,Human
nicolaasuni,42.0,Human
ankurs,29.0,Human
SML-MeSo,31.0,Human
plazma-prizma,63.0,Human
taku910,29.0,Human
zsquareplusc,32.0,Human
euvl,27.0,Human
dbaeumer,28.0,Human
deepakkumar1984,24.0,Human
PuercoPop,27.5,Human
davazp,30.0,Human
kevinmehall,32.0,Human
Tasteful,33.0,Human
anntzer,36.5,Human
icy,28.0,Human
skyesx,7.0,Human
dreampiggy,35.0,Human
gavinorland,28.0,Human
ajayns,34.0,Human
dborsatto,65.5,Human
ltparis2018,33.0,Human
