Temps réponse,Compte
6802.0,mysql-oca-bot
2678397.0,mysql-oca-bot
82749.0,mysql-oca-bot
2678411.0,mysql-oca-bot
12479.0,mysql-oca-bot
66825.0,mysql-oca-bot
201858.0,mysql-oca-bot
86141.0,mysql-oca-bot
15620.0,mysql-oca-bot
9067.0,mysql-oca-bot
33052.0,mysql-oca-bot
83711.0,mysql-oca-bot
2674798.0,mysql-oca-bot
9975.0,mysql-oca-bot
480.0,mysql-oca-bot
62776.0,mysql-oca-bot
583836.0,mysql-oca-bot
82133.0,mysql-oca-bot
2678402.0,mysql-oca-bot
15835.0,mysql-oca-bot
15357.0,mysql-oca-bot
60028.0,mysql-oca-bot
1937.0,mysql-oca-bot
74824.0,mysql-oca-bot
8229.0,mysql-oca-bot
7884.0,mysql-oca-bot
8212.0,mysql-oca-bot
237.0,mysql-oca-bot
8201.0,mysql-oca-bot
80269.0,mysql-oca-bot
82206.0,mysql-oca-bot
58250.0,mysql-oca-bot
82204.0,mysql-oca-bot
13244.0,mysql-oca-bot
82198.0,mysql-oca-bot
24544.0,mysql-oca-bot
2678401.0,mysql-oca-bot
77949.0,mysql-oca-bot
2678402.0,mysql-oca-bot
84083.0,mysql-oca-bot
669.0,mysql-oca-bot
32341.0,mysql-oca-bot
2678400.0,mysql-oca-bot
78708.0,mysql-oca-bot
147711.0,mysql-oca-bot
184530.0,mysql-oca-bot
80300.0,mysql-oca-bot
20891.0,mysql-oca-bot
2737.0,mysql-oca-bot
9497.0,mysql-oca-bot
8171.0,mysql-oca-bot
70044.0,mysql-oca-bot
86051.0,mysql-oca-bot
5602.0,mysql-oca-bot
16492.0,mysql-oca-bot
3651.0,mysql-oca-bot
21053.0,mysql-oca-bot
188076.0,mysql-oca-bot
14186.0,mysql-oca-bot
188078.0,mysql-oca-bot
69420.0,mysql-oca-bot
1707.0,mysql-oca-bot
28659.0,mysql-oca-bot
9376.0,mysql-oca-bot
24069.0,mysql-oca-bot
732078.0,mysql-oca-bot
8902.0,mysql-oca-bot
2678396.0,mysql-oca-bot
207.0,mysql-oca-bot
2664572.0,mysql-oca-bot
77269.0,mysql-oca-bot
7315.0,mysql-oca-bot
4423.0,mysql-oca-bot
842.0,mysql-oca-bot
10056.0,mysql-oca-bot
77346.0,mysql-oca-bot
95129.0,mysql-oca-bot
293.0,mysql-oca-bot
